Class Name,ATFD,CCC,CBO,DAC,DIT,CHD,CHEF,CHER,CHL,CHVC,CHVL,LCOM,CLOC,CMI,MPC,NCSS,NOAC,NOAM,NOA,SIZE2,NOC,NOM,NOO,NOOM,NOPA,RFC,TCC,WOC,WMC,,,,,,,,Comments
iscteiul.ista.Application,0,0,0,0,1,3,0,90,0,0,67,10,8,30,0,1,3,79,2493,1,1,0,1,0,15,0,1,15,0,0,2,0,0,1,0,1,"Simple, well-structured class. Maintainable design, no refactor needed."
iscteiul.ista.base.ui.MainErrorHandler,4,0,0,1,1,15,0,2875,3046,0,674,38,33,191,687,1,15,58,373,14,8,0,1,1,15,0,1,14,0,0,16,0,0,1,0,1,"High LCOM suggests poor cohesion; split into smaller, more focused classes."
iscteiul.ista.base.ui.MainLayout,12,2,0,0,3,18,3158,7255,2016,0,1249,73,43,396,1173,2,27,50,3707,19,18,0,3,11,100,N/A,4,97,0,0,21,0,0,1,0,5,
iscteiul.ista.base.ui.component.ViewToolbar,12,1,2,0,3,12,1136,4411,5331,0,897,71,35,364,1791,1,23,52,2147,10,16,0,1,9,79,N/A,2,78,0,0,8,0,0,1,0,3,
iscteiul.ista.email.Email,0,0,3,2,1,4,5,846,0,0,298,47,16,188,0,5,30,51,5447,0,10,10,10,5,28,0,10,23,0,0,10,0,1111,0,0,10,
iscteiul.ista.email.EmailRepository,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
iscteiul.ista.email.EmailService,2,0,3,1,1,19,0,5035,0,0,979,53,32,265,0,2,21,54,963,16,14,0,2,1,16,0,2,15,0,0,17,0,0,1,0,2,
iscteiul.ista.email.ui.EmailView,2,1,2,1,5,15,0,4565,6969,0,917,58,38,304,3798,0,21,53,6788,14,16,0,0,9,132,0,1,131,0,0,15,0,0,0,0,2,
iscteiul.ista.examplefeature.Task,1,5,4,4,1,22,2727,11941,8866,0,1742,95,50,536,1663,4,46,44,2548,11,20,5,6,5,28,0,10,23,2,0,16,0,1333,0,1667,15,
iscteiul.ista.examplefeature.TaskRepository,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
iscteiul.ista.examplefeature.TaskService,1,1,4,1,1,12,2778,1904,4615,0,512,33,26,155,1145,1,16,58,2102,6,8,0,2,1,17,0,3,16,0,0,11,1,0,1,0,4,
iscteiul.ista.examplefeature.ui.TaskListView,10,0,3,5,5,39,6,31952,6039,0,3356,128,79,806,8839,1,36,45,6074,47,28,0,1,13,137,0,2,132,0,0,42,0,0,1,0,2,
iscteiul.ista.forex.Forex,1,0,2,3,1,4,9583,1221,6332,0,381,58,19,246,3798,6,12,59,3949,0,11,11,11,6,30,0,11,24,0,0,11,0,909,0,0,11,
iscteiul.ista.forex.ForexRepository,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
iscteiul.ista.forex.ForexService,1,0,3,1,1,16,8889,3372,4716,0,75,43,25,199,6858,1,15,58,155,8,11,0,1,2,17,0,2,15,0,0,9,0,0,1,0,2,
iscteiul.ista.forex.ui.ForexView,1,3,1,1,5,15,64,5765,217,0,1072,66,48,368,6075,0,21,52,9746,14,15,0,0,9,132,0,1,131,0,0,15,0,0,0,0,5,
iscteiul.ista.pdf.PdfRepository,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
pdf.Pdf,1,0,1,3,1,4,7273,722,92,0,268,36,19,152,9254,4,18,57,992,1,7,3,4,4,23,0,6,19,0,0,7,0,0,0,25,6,
pdf.PdfService,0,3,1,0,1,16,3654,8177,9329,0,1353,89,49,499,7092,2,46,44,5748,15,25,0,3,1,18,0,4,17,0,0,20,0,0,1,0,7,
ui.PdfView,2,2,3,2,3,22,5217,9836,9721,0,153,77,51,436,7768,0,25,50,8759,22,16,0,0,9,156,0,1,154,0,0,25,0,0,0,0,3,
