Method Name,CCM,CND,CDISP,CINT,FDP,HD,HEF,HER,HL,HVC,HVL,LOC,LAA,LND,MMI,MND,CC,NOAV,NOL,NOPM,,,,,,,,,Comments
iscteiul.ista.Application.main(String[]),0,0,1,0,1,0,2,5,38,7744,0,38,6,6,15,5098,3,0,0,0,81,3571,0,1,1,0,1,,
iscteiul.ista.base.ui.MainErrorHandler.errorHandlerInitializer(),0,0,0,7692,13,4,11,5909,1783,916,0,49,32,28,153,8354,15,0,2,0,59,475,2,1,8,0,0,,
iscteiul.ista.base.ui.MainLayout.MainLayout(),0,0,0,25,2,1,2,5,38,7744,0,38,6,6,15,5098,4,0,0,0,78,6317,0,1,1,0,0,,
iscteiul.ista.base.ui.MainLayout.createHeader(),0,0,1,0,2,9,3,6923,423,4857,0,188,27,19,114,694,10,0,0,0,63,7836,0,1,12,0,0,,
iscteiul.ista.base.ui.MainLayout.createSideNav(),0,0,0,8,4,1,7,5,376,4211,0,174,14,12,50,1895,6,0,0,0,71,1292,0,1,3,0,0,,This method depends on external database access. Validate parameters and handle exceptions for reliability.
iscteiul.ista.base.ui.MainLayout.createSideNavItem(MenuEntry),2,1,0,3333,3,1,15,75,1198,6931,0,376,22,11,76,1075,7,0,0,0,68,3023,1,2,1,0,1,,"High method complexity and coupling. Separate validation, persistence, and mapping responsibilities for better maintainability."
iscteiul.ista.base.ui.component.ViewToolbar.ViewToolbar(String, Component[]),1,1,1,0,3,12,6,952,1539,7486,0,444,52,29,252,615,17,0,0,0,56,2512,1,2,20,0,2,
iscteiul.ista.base.ui.component.ViewToolbar.group(Component[]),0,0,1,0,1,6,3,375,192,7473,0,111,15,14,57,1103,6,0,0,0,70,7308,0,1,8,0,1,,
iscteiul.ista.email.Email.getFromAddress(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.email.Email.getId(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.email.Email.getMessage(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.email.Email.getSubject(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.email.Email.getToAddress(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.email.Email.setFromAddress(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.Email.setId(Long),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.Email.setMessage(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.Email.setSubject(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.Email.setToAddress(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.EmailRepository.findAllBy(Pageable),0,0,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,0,N/A,1,N/A,0,1,,,,,
iscteiul.ista.email.EmailService.saveEmail(Email),0,0,1,0,1,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.email.EmailService.sendEmail(Email),0,0,0,5,10,2,15,7857,3910,2764,0,827,50,31,247,7098,18,0,0,0,55,8638,2,1,4,0,N/A,,
iscteiul.ista.email.ui.EmailView.EmailView(),1,0,0,6364,11,2,13,3333,3236,7416,0,729,49,31,242,7556,21,0,1667,0,54,3724,2,2,8,0,0,,
